RESERVATION_DATE	CHAR_RESERVATION_DATE	MARKET_CODE_SEQ	MARKET_CODE	MARKET_CODE_DESCRIPTION	S_DEF_ROOMS_DAY	S_DEF_ROOMS_MKT	S_REV_DAY	S_REV_MKT	DAY_ROOMS	TOT_ARR_DAY	TOT_ARR_MKT	ARRIVAL_RMS_DAY	ARR_RMS_MKT	GUEST_DAY	GUEST_MKT	DOUBLE_OCC_DAY	DOUBLE_OCC_MKT	SINGLE_OCC_DAY	SINGLE_OCC_MKT	PER_DOUBLE_MKT	PER_DOUBLE_OCC_DAY	PER_OCC_DAY	PER_OCC_MKT	CS_SUM_OO_MKT	CS_AVG_OO_DAY	NO_DEFINITE_ROOMS	ARRIVAL_RMS	NO_OF_GUESTS	SINGLE_OCCUPANCY	MULTI_OCCUPANCY	TOTAL_REVENUE	OO_ROOMS	PRINT_NO_OF_ROOMS	GET_ARR	PER_OCC	MULTI_OCC_PER
19-JUL-21	07-19-21	IDU0G	IDU0G	IDU0G	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDU10	IDU10	IDU10	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDU12	IDU12	IDU12	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDU14	IDU14	IDU14	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDU15	IDU15	IDU15	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDU20	IDU20	IDU20	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDU25	IDU25	IDU25	60	2	7345.01	245		122.416833	122.5	38	2	84	8	17	2	43	0	100	28.3333333	77.9220779	2.59740260	3	3	2	2	8	0	2	245	3	2	122.5	2.59740260	100
19-JUL-21	07-19-21	IDUCC	IDUCC	IDUCC	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDUCP	IDUCP	IDUCP	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDUGP	IDUGP	IDUGP	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDUIB	IDUIB	IDUIB	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDUNP	IDUNP	IDUNP	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDUVC	IDUVC	IDUVC	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDUWG	IDUWG	IDUWG	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IDUWV	IDUWV	IDUWV	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IE2IV	IE2IV	IE2IV	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IE7HP	IE7HP	IE7HP	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IEARX	IEARX	IEARX	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IEOU7	IEOU7	IEOU7	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IGCOR	IGCOR	IGCOR	60	5	7345.01	865		122.416833	173	38	4	84	10	17	3	43	2	60	28.3333333	77.9220779	6.49350649	3	3	5	4	10	2	3	865	3	5	173	6.49350649	60
19-JUL-21	07-19-21	IGN1R	IGN1R	IGN1R	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IGN2R	IGN2R	IGN2R	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IGN3R	IGN3R	IGN3R	60	1	7345.01	175.44		122.416833	175.44	38	1	84	2	17	1	43	0	100	28.3333333	77.9220779	1.29870130	3	3	1	1	2	0	1	175.44	3	1	175.44	1.29870130	100
19-JUL-21	07-19-21	IGN4R	IGN4R	IGN4R	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IGN5R	IGN5R	IGN5R	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IGN6R	IGN6R	IGN6R	60	3	7345.01	457.6		122.416833	152.533333	38	2	84	3	17	0	43	3	0	28.3333333	77.9220779	3.89610390	3	3	3	2	3	3	0	457.6	3	3	152.5333333333333333333333333333333333	3.89610390	0
19-JUL-21	07-19-21	IGN8K	IGN8K	IGN8K	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IGNP1	IGNP1	IGNP1	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IGNSC	IGNSC	IGNSC	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IGNSD	IGNSD	IGNSD	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IGNSE	IGNSE	IGNSE	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IGNSF	IGNSF	IGNSF	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	IGNSL	IGNSL	IGNSL	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
